City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bubaque,GW,11.2833,-15.8333,80.92,77,19,11.65,few clouds
80,Tenenkou,ML,14.4572,-4.9169,94.75,29,100,5.28,overcast clouds
81,Gat,IL,31.61,34.7642,80.82,100,2,3.49,clear sky
82,Luanda,AO,-8.8368,13.2343,68.59,89,100,9.91,overcast clouds
83,Lagoa,PT,39.05,-27.9833,66.29,79,83,14.88,broken clouds
84,Bauru,BR,-22.3147,-49.0606,85.14,34,0,2.3,clear sky
85,Luwuk,ID,-0.9516,122.7875,76.87,90,100,3.67,overcast clouds
86,Hervey Bay,AU,-25.2986,152.8535,50.45,72,0,12.24,clear sky
87,College,US,64.8569,-147.8028,72.46,61,20,4.61,haze
88,Hilo,US,19.7297,-155.09,89.28,76,100,1.01,overcast clouds
89,Thompson,CA,55.7435,-97.8558,82.56,28,40,8.05,scattered clouds
90,Yurimaguas,PE,-5.9,-76.0833,86.16,66,40,5.75,scattered clouds
91,Ponta Do Sol,PT,32.6667,-17.1,76.71,85,4,3.47,clear sky
92,Chokurdakh,RU,70.6333,147.9167,43.34,72,75,11.45,broken clouds
93,Poum,NC,-20.2333,164.0167,76.17,82,1,7.85,clear sky
94,Odesskoye,RU,54.2111,72.9651,61.34,86,99,8.55,overcast clouds
95,Longyearbyen,SJ,78.2186,15.6401,49.84,50,0,19.57,clear sky
96,Annau,TM,37.8876,58.516,81.9,28,0,6.91,clear sky
97,Ponta Delgada,PT,37.7333,-25.6667,71.51,73,75,10.36,broken clouds
98,Port Alfred,ZA,-33.5906,26.891,59.18,68,0,12.15,clear sky
99,Bonavista,CA,48.6499,-53.1147,55.26,77,74,13.18,broken clouds
100,Arrecife,ES,28.963,-13.5477,76.98,73,20,19.57,few clouds
101,Sorland,NO,67.667,12.6934,51.66,93,100,19.71,overcast clouds
102,Kapit,MY,2.0167,112.9333,73.6,99,96,1.3,light rain
103,Freeport,US,40.6576,-73.5832,87.19,64,100,5.01,overcast clouds
104,Rio Cuarto,AR,-33.1307,-64.3499,61.66,16,40,24.16,scattered clouds
105,Tiksi,RU,71.6872,128.8694,40.28,67,100,6.04,overcast clouds
106,Port Elizabeth,ZA,-33.918,25.5701,57.49,81,0,3.44,clear sky
107,Port Lincoln,AU,-34.7333,135.8667,52.56,81,55,8.88,broken clouds
108,Siva,EG,29.2041,25.5195,92.88,24,5,12.19,clear sky
109,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,25.32,broken clouds
110,Tecoanapa,MX,16.5167,-98.75,85.71,69,41,10.16,scattered clouds
111,Yellowknife,CA,62.456,-114.3525,77.56,38,20,20.71,smoke
112,Hofn,IS,64.2539,-15.2082,59.02,51,75,12.66,broken clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,75.2,64,40,5.75,scattered clouds
114,Norman Wells,CA,65.282,-126.8329,78.84,41,20,13.8,smoke
115,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,98,16.58,light rain
116,Banjar,ID,-8.19,114.9675,71.46,86,8,5.37,clear sky
117,Ribeira Grande,PT,38.5167,-28.7,70.2,68,40,11.5,scattered clouds
118,Severo-Kurilsk,RU,50.6789,156.125,56.08,90,19,11.86,few clouds
119,Skjervoy,NO,70.0311,20.9714,55.4,81,100,5.21,overcast clouds
120,Barrow,US,71.2906,-156.7887,41.02,93,100,10.36,overcast clouds
121,Avarua,CK,-21.2078,-159.775,71.65,64,40,20.2,scattered clouds
122,Yinchuan,CN,38.4681,106.2731,84.4,25,100,2.46,overcast clouds
123,Marsh Harbour,BS,26.5412,-77.0636,83.88,71,99,16.31,overcast clouds
124,Bestobe,KZ,52.4994,73.0975,63.28,77,15,10.33,few clouds
125,Port Hardy,CA,50.6996,-127.4199,59.18,88,75,6.91,broken clouds
126,Palana,RU,59.1167,159.9667,54.07,93,93,18.41,overcast clouds
127,Bartica,GY,6.4,-58.6167,89.92,76,71,3.11,broken clouds
128,Mastic Beach,US,40.7668,-72.8521,83.98,75,0,8.05,clear sky
129,Bethel,US,41.3712,-73.414,86.74,62,88,1.01,overcast clouds
130,Mount Isa,AU,-20.7333,139.5,51.57,58,0,11.5,clear sky
131,Hasaki,JP,35.7333,140.8333,72.0,85,97,19.39,overcast clouds
132,Southbridge,US,42.0751,-72.0334,86.36,60,100,3.0,overcast clouds
133,Burns Lake,CA,54.2331,-125.7533,58.42,51,87,8.25,overcast clouds
134,Marawi,PH,7.9986,124.2928,69.1,94,100,4.68,overcast clouds
135,Jalu,LY,29.0331,21.5482,93.47,19,5,7.9,clear sky
136,Omsukchan,RU,62.5333,155.8,69.37,73,39,5.97,scattered clouds
