City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Hami,CN,81.73,clear sky,42.8,93.45,Hami
219,Sape,BR,76.01,overcast clouds,-7.0964,-35.2328,Sapé
223,Siniscola,IT,83.75,clear sky,40.5719,9.6922,Siniscola
224,Minab,IR,87.35,overcast clouds,27.1467,57.0801,Minab
225,Dwarka,IN,83.16,overcast clouds,22.2394,68.9678,Dwarka
228,Kieta,PG,77.92,overcast clouds,-6.2167,155.6333,Kieta
230,Vaitape,PF,78.03,clear sky,-16.5167,-151.75,Vaitape
231,Touros,BR,77.76,light rain,-5.1989,-35.4608,Touros
232,Makakilo City,US,77.68,light rain,21.3469,-158.0858,Kapolei
233,San Vicente,AR,76.89,scattered clouds,-26.6167,-54.1333,San Pedro
235,Kavieng,PG,81.82,overcast clouds,-2.5744,150.7967,Kavieng
237,Samana,DO,84.65,clear sky,19.2056,-69.3369,Samana
241,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Cayenne
242,Sibolga,ID,76.73,overcast clouds,1.7427,98.7792,Sibolga
243,Kochi,IN,78.03,light rain,9.9399,76.2602,Kochi
247,Pangai,TO,75.88,overcast clouds,-19.8,-174.35,Pangai
249,Aranda De Duero,ES,79.25,clear sky,41.6704,-3.6892,Aranda de Duero
253,Lorengau,PG,78.76,moderate rain,-2.0226,147.2712,Lorengau
256,Flagstaff,US,89.1,broken clouds,35.1981,-111.6513,Flagstaff
257,Nueva Gerona,CU,86.97,scattered clouds,21.8833,-82.8,Nueva Gerona
263,Sur,OM,85.33,light rain,22.5667,59.5289,Sur
264,Rurrenabaque,BO,86.4,overcast clouds,-14.4413,-67.5278,Rurrenabaque
271,Tala,EG,75.54,clear sky,30.6803,30.9429,Tala
281,Nueva Loja,EC,83.64,scattered clouds,0.0847,-76.8828,Nueva Loja
285,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Nanjo
286,Banda Aceh,ID,81.03,overcast clouds,5.5577,95.3222,Banda Aceh
287,Takoradi,GH,76.46,light rain,4.8845,-1.7554,Takoradi
289,Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Santa Cruz de la Sierra
290,Ormara,PK,83.28,moderate rain,25.2088,64.6357,Ormara
291,Andros,GR,79.74,broken clouds,37.8333,24.9333,Andros
294,Buala,SB,78.76,few clouds,-8.145,159.5921,Buala
297,Tautira,PF,77.05,clear sky,-17.7333,-149.15,Tautira
298,Raton,US,85.05,clear sky,36.9034,-104.4391,Raton
299,Acapulco,MX,86.72,broken clouds,16.8634,-99.8901,Acapulco
303,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Hambantota
304,Dryden,CA,81.0,clear sky,49.7833,-92.7503,Dryden
313,Maragogi,BR,76.44,clear sky,-9.0122,-35.2225,Maragogi
314,Harindanga,IN,83.43,clear sky,22.0383,88.3214,Dhola
327,Marmande,FR,84.51,clear sky,44.5,0.1667,Marmande
328,Kirakira,SB,78.93,overcast clouds,-10.4544,161.9205,Arohane
329,Changli,CN,77.18,clear sky,39.7042,119.1506,Qinhuangdao
346,Bombay,IN,82.38,moderate rain,19.0144,72.8479,Mumbai
349,Hirara,JP,83.68,overcast clouds,24.8,125.2833,Hirara
